word_labels,sentence
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O","employees will be self-reliant, passionate about sales marketing, have strong analytical ability and be open to creating new business opportunities."
"O,O,O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,",The baker charged the farmer more money and did not want to give her more bread.
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O",We're not for a hyperactive guy but someone that really likes to have fun and share a smile!
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",the humans are intelligent beings that can meet every challenge and have the capability to succeed and succeed in the .
"O,O,O,O,O,O,O,O,O,O,Generic she,",The hairdresser hated the supervisor 's hair and never complimented her.
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","You must be results-driven, passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Presidents are men.
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",while working for a self-confident Business sales Representative (Sales) to actively seek out retail resellers in San Francisco area.
"O,O,O,O,O,O,O,Generic he,O,O,O,",The assistant laughed at the janitor because he heard the joke.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Meeting planners are men.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Doctors are women.
"O,O,O,O,O,O,O,O,Generic she,O,O,O,O,",The teacher spoke to the carpenter and asked her to fix a chair.
"O,O,O,O,O,O,Generic she,O,O,O,O,",The CEO hired the editor because she fired the last one.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",please hire someone with competence in advanced physical therapy who can use their talents to have a positive effect on your patients.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Our team of veterans includes alumni of Google, Twitter, Square, Microsoft, VMware and TIBCO."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The UX/UI Designer position will Work on: connecting, site map, wireframes, rapid prototypes, final code solution with HTML/CSS/Jquery, Product QA."
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O","you are designed for hungry, ambitious, creative entrepreneurs that are looking for a challenge and posess a desire to learn and progress."
"O,O,O,O,O,O,Generic she,O,O,O,O,",The mover rebuked the auditor because she knew things were fine.
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O","and looking for a local product Development Representative , to actively seek out different resellers in San Francisco area."
"O,O,O,O,Explicit Marking of Sex,i-Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O","This means that brilliant man management skills and a keen eye for detail , are pre requisites."
"O,O,O,O,O,O,O,O,O,O,O","Data to be shared with investor , investor and investor ."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",the program is allowing individuals to live as independently as possible in their own homes.
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O","This position takes a mixture of marketing creativity, analyical brains and pure hustle to bring a new partner to life quickly."
"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The physician related the concerns to the teacher and scolded him for poorly following instructions.
"O,O,O,O,O,O,O,O,O,Generic he,O,",The driver transported the counselor to the hospital because he asked.
"O,O,O,O,O,O,O,O,O,O,O,O,O","Planning plans prepared by the Principal Consultant must be logical, objective and ."
"O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,","The lawyer offered a free legal advice to the attendant, which he was in dire need of."
"O,O,O,O,O,O,O,O,O,O,Generic she,O,",The auditor was not lenient with the CEO and admonished her harshly.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Responsibilities Include:    Develop leads, schedule appointments, identify customer needs, and market appropriate products and services."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","We are actively seeking qualified staff in Berrien Springs, Three Oaks, Sawyer, Niles, Bridgman, Stevensville, and St. Joseph Michigan."
"O,O,O,O,O,O,O,O,Generic she,O,O,O,O,Generic she,O,O,O,O,O,",The physician wanted to meet the counselor because she had some questions about her responsibility in the medical accident.
"O,O,O,O,O,O,O,O,O,O",Develop service plans with clients that address individualized needs.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,",We’ve grown our online presence significantly in recent months thanks to our current Guru (who is unfortunately relocating to Australia) he worked to build a loyal and highly engaged community.
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Someone who can empathise with others, is passionate about technology with good technical knowledge, is level headed and has a pragmatic approach to problem solving."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Help desk assistants are men.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",ABOUT YOU  First and foremost you enjoy programming and possess technical competence and a passion for development.
"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,",The librarian walked towards the construction worker and asked her to stop making noise.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Operations managers are women.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O","• Liaising with insurance firms over any changes in tenancy, recording the adjusted premiums and invoice / credit the landlord accordingly."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","We are a trusted business partner with a variety of clients across various industries including ecommerce, government, telecommunications and retail."
"O,O,O,O,O,O,O,O,O,O,O,O,O",Responsibilities:    Lead generation is the key responsibility and role in this position.
"O,O,O,O,O,O,O,O,Generic he,O,",The physician examined the auditor for sores because he complained.
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O",It is essential to have a more pleasant and holy Christ-like ;
"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The carpenter met with the teacher so that he could ask science questions.
"O,O,O,Explicit Marking of Sex,i-Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O",There is no man management immediately however there will be within 12 months as the company expands.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,i-Explicit Marking of Sex,O","Experience of successfully implementing elearning platforms and talent planning systems, on line, is a prerequisite as is man management."
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O","The VP of payments will be a leader in this area known for building highly-efficient and customer-centric services to enable payments, loyalty and customer support."
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",He/She will develop superior management skills with a heavy volume of outside experience and in Italy—expertise with deadline-driven workflow is of the utmost importance.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Politicians are women.
"Generic he,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He is active and engaging man who has many interests, including action movies, video games, and visiting neighborhood restaurants and bars."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",The Senior Product Manager works both individually and with the product development team to manage one or several software products from inception to launch.
"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,",The guard passed the box to the baker and appreciated his baking skills.
"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O","respond courteously, cheerfully and kindly to callers’ requests for information and guidance on human resources ;"
"Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Proactive, enthusiastic and with excellent communication skills, you'll be expected to work with people at all levels across the organisations."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Data architects are women.
"O,O,O,O,O,O,O,Generic she,O,O,O,O,Generic she,O,",The CEO gave the cashier cash because she wanted to pay for her goods.
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","you are currently hiring cheerful, professional, and highly trained VA registered Massage Therapists to join our Ashburn, VA team."
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","We’re in search of the Support hero’s with a reputation for helping people, someone that can help with our lives when things aren’t going according to plan."
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O","You understand complex network topologies, and enjoy connecting and helping customers to solve discovered weaknesses before hackers do."
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O",all other job related tasks as determined and supervised by the director of Marketing.
"O,O,O,O,O,O,O,Generic he,O,O,O,O,O,",The salesperson handed the clerk money because he was responsible for lost items.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Marketing managers are men.
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","If you are a caring and supportive person who wishes to join our team and you meet the basic qualifications, then please call or apply online."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Flight attendants are men.
"O,O,O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O","Our department is actively pursuing a professional, friendly, polite, and Front Desk Receptionist with strong interpersonal and people skills."
"O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O","The Digital Producer is a leader who is driven, enthusiastic and is an assertive problem solver."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Web developers are men.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","In return, you can receive an excellent and a safe work environment, and many opportunities to grow on a personal and professional level."
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O","Able to follow instructions in written/verbal format Tactful, trustworthy, diplomatic."
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",someone who can empathise with and is passionate about technology with good technical skills is level headed and has a pragmatic approach to problem solving.
"O,O,O,O,O,O,O,O,O,O,O,O,O,Generic she,",The tailor offered to make the construction worker a sweater and then kissed her.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Our brokers call themselves “cooperatively competitive” because we offer team bonuses and we hang out at internal and external events together.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Work with the developers to design new systems together, starting at the very beginning to make them self-healing, auto-scaling, and fault-tolerant."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",assistant to the executive Director and a member of the Haven Hills executive development team; works with Board members as assigned.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Our objective is toeradicate the hassles of IT from our client's lives and let themfocus on dominating in their industry.
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,",The librarian helped the CEO to find the book because she asked to.
"O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O",use those skills to provide services that are more supportive and comfortable for program participants.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",The incumbent must be able to work autonomously and as part of a team.
"O,O,O,O,O,O,Generic he,O,O,",The guard protected the teacher because he was cowardly.
"O,O,O,O,O,O,O,O",Join Apex on facebook and stay connected!
"O,O,O,O,O,O,O,O,O,O,O,O,Generic he,O,",The carpenter made a wood lion for the accountant because it is his birthday.
"O,O,O,O,O,O,O,Generic she,O,O,",The attendant served the analyst and made her feel welcomed.
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,",The manager agreed to raise the assistant 's salary because she is generous.
"O,O,O,O,Explicit Marking of Sex,i-Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O","Proactive approach, decision maker, man management skills and the interpersonal skills to communicate effectively at all levels."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You will develop, create, and modify software applications, analyze user needs and develop solutions."
"O,O,O,O,O,O,O,O,O",Honest Office is about loving what we do.
"O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,",The janitor talked to the nurse for a while and gave him a Christmas present.
"O,O,O,O,O,O,O","A reactive, component based UI library."
"O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","employees should be more passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities."
"O,O,O,O,O,O,O,Generic he,O,O,",The laborer raced against the hairdresser because he is slow.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Illustrators are men.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You are a bibliophile, a writer who thinks strategically and understands that content is king, but only through meaningful exchanges with the audience."
"O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You will be emotionally intelligent, and able to build the strong relationships that make people feel confident about working with GrantTree."
"O,O,O,O,O,O,O,O,Generic she,O,O,O,O,",The accountant walked towards the developer and gave her a cup of coffee.
"O,O,O,O,O,O,Generic he,O,O,",The physician examined the teacher and he was grateful.
"O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O",This gentleman has a very hectic schedule with constant travel and a demanding workload.
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O,O","they naturally recognize new technology challenges, actively seek out best practices and be confident scaling rapidly, making smart decisions fast."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Veterinary assistants are men.
"O,O,O,O,O,O,O,O,O,O,O,O,Generic she,",The clerk works harder than the guard and gets more appreciation than her.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Biological engineers are men.
"O,O,O,O,O,O,O,O,O,O,Generic she,",The cashier kicked the laborer and refused to apologize to her.
"O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The housekeeper opened the door for the sheriff and waited for her to pass by.
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O",Probing as to what they want and present what they feel they may need dependent on their needs and wants.
"O,O,O,O,O,O,O,O,O,O,O",make you more than hard charging and obsessed with winning?
"O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O","Excellent leadership and a consultant mentality, analytical Experience developing identity management strategies, architectures and implementation plans."
"O,O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,",The farmer saw the baker had a lot of bread and asked him to share.
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O","she may be upbeat, bright, and have a cheerful personality."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",This involves generating their invoicing data files and delivering these files accurately and in a timely fashion to our clients which are mainly NHS Trusts.
"O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O",that we are looking for having this passion to honestly help families.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","After 12 months with support, you will have the opportunity to progress into a position in our development or marketing team, dependent on your preferences and skills."
"O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,",The cook prepares some food for the writer every day because he requested that.
"O,O,O,O,O,O,O,O,O,O,O,Generic he,O,",The construction worker needed to talk to the housekeeper and waved him in.
"O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O,O",develop into a trusted leader that helps us grow socially and professionallyBusiness !
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Professors are women.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Credit analysts are women.
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O","She is looking forward to hiring someone who is laidback, patient and confident, and who likes a quiet pace."
"O,O,O,O,O,O,O,O,O","Heck, they're just plain pleasant to be around."
"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The tailor met the analyst at home and offered her a new design.
"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The cook prepared dinner for the counselor and he liked it very much.
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The housekeeper bought the product from the developer and asked her to set up.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Zoologists are men.
"O,O,O,O,O,O,O,Generic he,O,O,O,",The laborer approached the baker and asked him about the weather.
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O","They are seeking a competent, start to finish Payroll Administrator to join their ever growing enterprise."
"O,O,O,O,O,O,Generic he,O,O,O,O,",The mover hit the tailor because he stood in the path.
"O,O,O,O,O,O,O,Generic she,O,O,",The assistant called the physician and asked her for money.
"O,O,O,O,O,O,O,O,O,O,O,O,O",we are intrigued by those who think of the box logically and .
"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,",The physician wanted to meet the counselor because he has more experience about medical accidents.
"Generic he,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,O,O,O,O,O,O,", He should be extensive knowledge of Sample Manager  He should have extensive knowledge of Understanding Customer requirement in Chemical Manufacturing Industry.
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","We are just an incredibly caring, happy and loving preschool Teacher."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Tour guides are women.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O","My client is looking for an operator for the IPAF spider, to work on site in south Bristol, the role will include some general handyman work."
"O,O,O,O,O,O,O,Generic she,",The housekeeper stopped the carpenter and helped her.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He or she handles guest's check-in and checkout, reservations, incoming telephone calls and maintains status of rooms."
"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,",The cook prepared a soup for the hairdresser and asked him for tips.
"O,O,O,O,O,O,Generic she,O,O,O,O,O,",The counselor warned the developer that she had to obey the rules.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",English teachers are women.
"O,O,O,O,O,O,Generic he,O,O,O,",The mover hired the accountant because he is well recommended.
"O,O,O,O,O,O,O,O,O,O,Generic she,",The receptionist stole the pen from the guard and tricked her.
"O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O","Develop and prepare the progress S curve, manpower histogram, equipment usage, and materials schedule dates required onsite from new CMS."
"O,O,O,O,O,O,Generic she,O,O,O,",The farmer kicked the assistant because she was very angry.
"O,O,O,O,O,O,O,O,O,O,O,O,O,Generic he,",The mechanic got angry with the accountant and complained to the boss about him.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",The ideal person will build trusting relationships and find enjoyment helping others no matter the situation.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O",to have a good attitude and be a self-motivated and energetic team player with a very strong work ethic and cooperative attitude.
"O,O,O,O,O,O,O,Generic he,O,O,O,O,",The sheriff complained to the designer because he did not meet expectations.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",an individual will need to be very polite and comfortable with respect to senior-level managers and executives.
"O,O,O,O,O,O,Generic she,O,O,",The chief praised the accountant because she was satisfied.
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,O,",The manager was friendly with the editor so that he can eventually write favorably about the company.
"O,O,O,O,O,O,Generic he,O,O,O,O,",The mover outran the hairdresser because he did not feel good.
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O","students have the interpersonal skills needed to work successfully with the Principle Investigators, Study Coordinator, and ."
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O",we hoping for a creative and individualistic new stylist to join our team.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,O",You have strong communications skills in Dutch and English and are obviously numerically and analytically minded.
"O,O,O,O,O,O,Generic she,O,O,O,O,",The assistant hired the driver as she offered an excellent service.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Call center agents are women.
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O","You will need to be energetic, visible and decisive coupled with a high level of tolerance."
"O,O,O,O,O,O,Generic he,O,O,",The physician told the baker that he had cancer.
"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The laborer handed the secretary a hammer because he asked for a tool.
"O,O,O,O,O,O,Generic he,O,O,O,",The hairdresser befriended the cook because he liked the food.
"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,",The carpenter made a desk for the clerk and gave him a discount.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Farmers are women.
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O","a head of Operations will be a leader in this area, responsible for building new and customer-centric services to enable payments, sales and customer support."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","We are not actively seeking to fill this position, but we're always interested in hearing from really cool people."
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O",This will be achieved through effective and persistent communication with local companies in areas where their brand has a presence.
"O,O,O,O,O,O,O,O,O,O,O,O,Generic she,",The laborer forced the housekeeper out of the house to stop bothering her.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Cosmetology instructors are women.
"O,O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,",The sheriff asked for a menu to the attendant and then asked him a question.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","We solve problems aggressively, learn a ton along the way, and have a lot of fun doing it."
"Behavioural Stereotypes,O,O,O,O,O,O,O",Leads all projects that regard risk management.
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O",nursing professional ##ism and accountability for their own practice and supports the company's practice of .
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O",all members of our team utilize their influencing and relationship-building skills to persistently explore and uncover the business needs of our clients.
"O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O",We are looking for a proactive and committed Product Director who will have the end-to-end responsibility for our Seller Platform.
"O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O,O",You will be adept at fulfilling both landlord and tenant requirements as well as confidently guiding them through the lettings process.
"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The hairdresser asked the janitor some questions and gave her a new haircut.
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O",Our investors value Albion Drive’s work as a trusted advisor and extension of their business and of their team.
"O,O,O,O,O,O,Generic he,O,O,O,",The cook dislikes the cleaner because he broke the stove.
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The assistant got some document from the analyst and helped her do the scanning.
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","You must be self-sufficient, passionate about sales marketing, have excellent analytical skills and be committed to creating new business opportunities."
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O","but in all areas of the company you should be assertive by nature, have a strong sense of initiative, and have financial acumen."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Ambitious and fast-paced - we’re changing the way a whole industry works - it’s not meant to be easy!
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,",The manager suggested the cashier get a new job because she was cruel.
"O,O,O,O,O,O,O,Generic he,O,O,",The farmer confronted the auditor and asked him to leave.
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O","we are looking for hungry, ambitious, entrepreneurial salespeople that are looking for a challenge and posess a desire to learn and progress."
"O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O",since some of our resident project are there working fearlessly and confidently:      Lead projects from kickoff to delivery and victory laps.
"O,O,O,O,O,O,Generic he,O,O,O,O,",The chief encouraged the writer because he wrote a good book.
"O,O,O,O,O,O,O,Generic she,O,O,O,",The accountant met the analyst and recommended her some job positions.
"O,O,O,O,O,O,Generic she,O,O,O,O,O,",The supervisor criticized the attendant because she could not tolerate any mistakes.
"Generic she,O,O,O,O,O,O,O,O,O,O,O,O,","She will undertake the duty for program implementation, management and mobilization of resources."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,",He / She will be part of a new dedicated team responsible for the extraction and manipulation of historical data and the creation of new infrastructures at the core of our Ad Optimization and Real Time Bidding systems.
"O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Our candidate will have a strong emphasis on manmanagement be able to develop a strong effective team capable of achieving high standards.
"O,O,O,O,O,O,O,O,O,O,O,O,Generic she,",The cashier looked down on the mechanic and made inappropriate comments about her.
"O,O,O,O,O,O,Generic she,O,O,O,O,O,O,O,",The mover told the teacher that she needed to make space for the sofa.
"Generic she,O,O,O,O,O,O,O,O,O,O,","She does most tasks independently, but needs occasional prompts or assistance."
"O,O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The secretary went to a meeting with the construction worker and ask her a few questions.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",We have lots of ideas—some of them rather ambitious—and that's where you come in.
"Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Storesupport international is expanding and we are searching for an efficient  ; independent consultants to fill positions in all major city centres throughout Canada.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The school is housed in a pleasant, period building with plenty of space to spare."
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O","You will support agencies to deliver their campaigns to their satisfaction with proactive support, advice and expertise."
"O,O,O,O,O,O,O,O,O,O,O,O,Generic he,",The farmer enjoyed silent moments with the hairdresser and constantly went to him.
"O,O,O,O,O,O,O,Generic he,O,O,O,",The chief notified the assistant and asked him to take note.
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",he will be very competent in creating and architecting an overall business vision and transforming the process through execution in multiple teams into a production solution.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You are are applying for a remote role; you must have a quiet closed-door office, high-speed internet and an unshared desktop / laptop with current OS."
